,Site,Date,Hour,Direction,Volume
367,9,2016-03-05,16,SOUTHBOUND,1282
368,9,2016-03-05,17,NORTHBOUND,1271
369,9,2016-03-05,17,SOUTHBOUND,1484
370,9,2016-03-05,18,NORTHBOUND,1338
371,9,2016-03-05,18,SOUTHBOUND,1595
372,9,2016-03-05,19,NORTHBOUND,1269
373,9,2016-03-05,19,SOUTHBOUND,1415
374,9,2016-03-05,20,NORTHBOUND,1095
375,9,2016-03-05,20,SOUTHBOUND,1188
376,9,2016-03-05,21,NORTHBOUND,723
377,9,2016-03-05,21,SOUTHBOUND,903
378,9,2016-03-05,22,NORTHBOUND,547
379,9,2016-03-05,22,SOUTHBOUND,778
380,9,2016-03-05,23,NORTHBOUND,449
381,9,2016-03-05,23,SOUTHBOUND,755
382,9,2016-03-05,24,NORTHBOUND,457
383,9,2016-03-05,24,SOUTHBOUND,812
384,9,2016-03-06,1,NORTHBOUND,392
385,9,2016-03-06,1,SOUTHBOUND,571
386,9,2016-03-06,2,NORTHBOUND,295
387,9,2016-03-06,2,SOUTHBOUND,376
388,9,2016-03-06,3,NORTHBOUND,218
389,9,2016-03-06,3,SOUTHBOUND,216
390,9,2016-03-06,4,NORTHBOUND,140
391,9,2016-03-06,4,SOUTHBOUND,233
392,9,2016-03-06,5,NORTHBOUND,113
393,9,2016-03-06,5,SOUTHBOUND,167
394,9,2016-03-06,6,NORTHBOUND,162
395,9,2016-03-06,6,SOUTHBOUND,112
396,9,2016-03-06,7,NORTHBOUND,318
397,9,2016-03-06,7,SOUTHBOUND,143
398,9,2016-03-06,8,NORTHBOUND,495
399,9,2016-03-06,8,SOUTHBOUND,288
400,9,2016-03-06,9,NORTHBOUND,723
401,9,2016-03-06,9,SOUTHBOUND,506
402,9,2016-03-06,10,NORTHBOUND,1397
403,9,2016-03-06,10,SOUTHBOUND,862
404,9,2016-03-06,11,NORTHBOUND,1533
405,9,2016-03-06,11,SOUTHBOUND,983
406,9,2016-03-06,12,NORTHBOUND,1678
407,9,2016-03-06,12,SOUTHBOUND,1231
408,9,2016-03-06,13,NORTHBOUND,1713
409,9,2016-03-06,13,SOUTHBOUND,1340
410,9,2016-03-06,14,NORTHBOUND,1715
411,9,2016-03-06,14,SOUTHBOUND,1395
412,9,2016-03-06,15,NORTHBOUND,1587
413,9,2016-03-06,15,SOUTHBOUND,1360
414,9,2016-03-06,16,NORTHBOUND,1361
415,9,2016-03-06,16,SOUTHBOUND,1403
416,9,2016-03-06,17,NORTHBOUND,1362
417,9,2016-03-06,17,SOUTHBOUND,1445
418,9,2016-03-06,18,NORTHBOUND,1566
419,9,2016-03-06,18,SOUTHBOUND,1500
420,9,2016-03-06,19,NORTHBOUND,1487
421,9,2016-03-06,19,SOUTHBOUND,1376
422,9,2016-03-06,20,NORTHBOUND,1274
423,9,2016-03-06,20,SOUTHBOUND,1310
424,9,2016-03-06,21,NORTHBOUND,1065
425,9,2016-03-06,21,SOUTHBOUND,1046
426,9,2016-03-06,22,NORTHBOUND,695
427,9,2016-03-06,22,SOUTHBOUND,693
428,9,2016-03-06,23,NORTHBOUND,445
429,9,2016-03-06,23,SOUTHBOUND,533
430,9,2016-03-06,24,NORTHBOUND,232
431,9,2016-03-06,24,SOUTHBOUND,384
432,9,2016-03-07,1,NORTHBOUND,124
433,9,2016-03-07,1,SOUTHBOUND,178
434,9,2016-03-07,2,NORTHBOUND,73
435,9,2016-03-07,2,SOUTHBOUND,119
436,9,2016-03-07,3,NORTHBOUND,46
437,9,2016-03-07,3,SOUTHBOUND,78
438,9,2016-03-07,4,NORTHBOUND,66
439,9,2016-03-07,4,SOUTHBOUND,55
440,9,2016-03-07,5,NORTHBOUND,118
441,9,2016-03-07,5,SOUTHBOUND,90
442,9,2016-03-07,6,NORTHBOUND,441
443,9,2016-03-07,6,SOUTHBOUND,179
444,9,2016-03-07,7,NORTHBOUND,1729
445,9,2016-03-07,7,SOUTHBOUND,677
446,9,2016-03-07,8,NORTHBOUND,2002
447,9,2016-03-07,8,SOUTHBOUND,1355
448,9,2016-03-07,9,NORTHBOUND,1804
449,9,2016-03-07,9,SOUTHBOUND,1269
450,9,2016-03-07,10,NORTHBOUND,1688
451,9,2016-03-07,10,SOUTHBOUND,1124
452,9,2016-03-07,11,NORTHBOUND,1389
453,9,2016-03-07,11,SOUTHBOUND,991
454,9,2016-03-07,12,NORTHBOUND,1230
455,9,2016-03-07,12,SOUTHBOUND,1088
456,9,2016-03-07,13,NORTHBOUND,1221
457,9,2016-03-07,13,SOUTHBOUND,1151
458,9,2016-03-07,14,NORTHBOUND,1174
459,9,2016-03-07,14,SOUTHBOUND,1200
460,9,2016-03-07,15,NORTHBOUND,1169
461,9,2016-03-07,15,SOUTHBOUND,1460
462,9,2016-03-07,16,NORTHBOUND,1200
463,9,2016-03-07,16,SOUTHBOUND,1539
464,9,2016-03-07,17,NORTHBOUND,1304
465,9,2016-03-07,17,SOUTHBOUND,1729
466,9,2016-03-07,18,NORTHBOUND,1509
467,9,2016-03-07,18,SOUTHBOUND,1774
468,9,2016-03-07,19,NORTHBOUND,1587
469,9,2016-03-07,19,SOUTHBOUND,1604
470,9,2016-03-07,20,NORTHBOUND,1149
471,9,2016-03-07,20,SOUTHBOUND,1289
472,9,2016-03-07,21,NORTHBOUND,690
473,9,2016-03-07,21,SOUTHBOUND,890
474,9,2016-03-07,22,NORTHBOUND,473
475,9,2016-03-07,22,SOUTHBOUND,823
476,9,2016-03-07,23,NORTHBOUND,339
477,9,2016-03-07,23,SOUTHBOUND,629
478,9,2016-03-07,24,NORTHBOUND,209
479,9,2016-03-07,24,SOUTHBOUND,402
480,9,2016-03-08,1,NORTHBOUND,119
481,9,2016-03-08,1,SOUTHBOUND,204
482,9,2016-03-08,2,NORTHBOUND,83
483,9,2016-03-08,2,SOUTHBOUND,126
484,9,2016-03-08,3,NORTHBOUND,61
485,9,2016-03-08,3,SOUTHBOUND,97
486,9,2016-03-08,4,NORTHBOUND,89
487,9,2016-03-08,4,SOUTHBOUND,94
488,9,2016-03-08,5,NORTHBOUND,129
489,9,2016-03-08,5,SOUTHBOUND,145
490,9,2016-03-08,6,NORTHBOUND,459
491,9,2016-03-08,6,SOUTHBOUND,260
492,9,2016-03-08,7,NORTHBOUND,1695
493,9,2016-03-08,7,SOUTHBOUND,865
494,9,2016-03-08,8,NORTHBOUND,2115
495,9,2016-03-08,8,SOUTHBOUND,1422
496,9,2016-03-08,9,NORTHBOUND,2061
497,9,2016-03-08,9,SOUTHBOUND,1407
498,9,2016-03-08,10,NORTHBOUND,1860
499,9,2016-03-08,10,SOUTHBOUND,1188
500,9,2016-03-08,11,NORTHBOUND,1343
501,9,2016-03-08,11,SOUTHBOUND,990
502,9,2016-03-08,12,NORTHBOUND,1321
503,9,2016-03-08,12,SOUTHBOUND,1128
504,9,2016-03-08,13,NORTHBOUND,1277
505,9,2016-03-08,13,SOUTHBOUND,1152
506,9,2016-03-08,14,NORTHBOUND,1207
507,9,2016-03-08,14,SOUTHBOUND,1243
508,9,2016-03-08,15,NORTHBOUND,1203
509,9,2016-03-08,15,SOUTHBOUND,1332
510,9,2016-03-08,16,NORTHBOUND,1218
511,9,2016-03-08,16,SOUTHBOUND,1509
512,9,2016-03-08,17,NORTHBOUND,1395
513,9,2016-03-08,17,SOUTHBOUND,1777
514,9,2016-03-08,18,NORTHBOUND,1629
515,9,2016-03-08,18,SOUTHBOUND,1751
516,9,2016-03-08,19,NORTHBOUND,1359
517,9,2016-03-08,19,SOUTHBOUND,1602
518,9,2016-03-08,20,NORTHBOUND,1544
519,9,2016-03-08,20,SOUTHBOUND,1378
520,9,2016-03-08,21,NORTHBOUND,802
521,9,2016-03-08,21,SOUTHBOUND,926
522,9,2016-03-08,22,NORTHBOUND,522
523,9,2016-03-08,22,SOUTHBOUND,995
524,9,2016-03-08,23,NORTHBOUND,387
525,9,2016-03-08,23,SOUTHBOUND,1070
526,9,2016-03-08,24,NORTHBOUND,265
527,9,2016-03-08,24,SOUTHBOUND,591
528,9,2016-03-09,1,NORTHBOUND,154
529,9,2016-03-09,1,SOUTHBOUND,264
530,9,2016-03-09,2,NORTHBOUND,85
531,9,2016-03-09,2,SOUTHBOUND,123
532,9,2016-03-09,3,NORTHBOUND,66
533,9,2016-03-09,3,SOUTHBOUND,109
534,9,2016-03-09,4,NORTHBOUND,77
535,9,2016-03-09,4,SOUTHBOUND,80
536,9,2016-03-09,5,NORTHBOUND,141
537,9,2016-03-09,5,SOUTHBOUND,103
538,9,2016-03-09,6,NORTHBOUND,443
539,9,2016-03-09,6,SOUTHBOUND,206
540,9,2016-03-09,7,NORTHBOUND,1711
541,9,2016-03-09,7,SOUTHBOUND,663
542,9,2016-03-09,8,NORTHBOUND,2123
543,9,2016-03-09,8,SOUTHBOUND,1401
544,9,2016-03-09,9,NORTHBOUND,2027
545,9,2016-03-09,9,SOUTHBOUND,1447
546,9,2016-03-09,10,NORTHBOUND,1804
547,9,2016-03-09,10,SOUTHBOUND,1192
548,9,2016-03-09,11,NORTHBOUND,1065
549,9,2016-03-09,11,SOUTHBOUND,1020
550,9,2016-03-09,12,NORTHBOUND,827
551,9,2016-03-09,12,SOUTHBOUND,1097
552,9,2016-03-09,13,NORTHBOUND,1147
553,9,2016-03-09,13,SOUTHBOUND,1140
554,9,2016-03-09,14,NORTHBOUND,1148
555,9,2016-03-09,14,SOUTHBOUND,1244
